SP;KM ;LOCALIZAÇÃO;MUNICÍPIO;TIPO
SP 073;35,7;-23.152178, -47.256790;Salto;Simples
SP 073;36;-23.154327, -47.258543;Salto;Simples
SP 073;36,5;-23.156347, -47.261614;Salto;Simples
SP 073;37;-23.160226, -47.264834;Salto;Simples
SP 073;37,5;-23.167878, -47.268992;Salto;Simples
SP 073;38;-23.168839, -47.268961;Salto;Simples
SP 073;38,5;-23.170805, -47.269480;Salto;Simples
SP 073;39;-23.171709, -47.268804;Salto;Simples
SP 073;39,5;-23.178815, -47.265868;Salto;Simples
SP 073;41;-23.188759, -47.279236;Salto;Simples
SP 073;41,2;-23.188900, -47.279980;Salto;Simples
SP 079;39;-23.215280, -47.297680;Salto;Dupla
SP 079;40;-23.221250, -47.300680;Salto;Dupla
SP 079;41;-23.225380, -47.301910;Salto;Simples
SP 079;42;-23.232150, -47.304020;Salto;Simples
SP 079;43;-23.239860, -47.304820;Salto;Simples
SP 079;44;-23.246690, -47.304250;Salto;Simples
SP 079;45;-23.254260, -47.301170;Salto;Simples
SP 079;49;-23.287820, -47.293420;Itu;Dupla
SP 079;50;-23.294680, -47.301390;Itu;Dupla
SP 079;51;-23.301910, -47.303610;Itu;Dupla
SP 079;52;-23.310480, -47.304060;Itu;Dupla
SP 079;53;-23.318890, -47.300860;Itu;Dupla
SP 079;54;-23.328070, -47.302790;Itu;Dupla
SP 079;55;-23.336950, -47.306000;Itu;Dupla
SP 079;56;-23.345380, -47.307360;Itu;Dupla
SP 079;57;-23.354590, -47.308950;Itu;Dupla
SP 079;58;-23.362500, -47.308390;Itu;Dupla
SP 079;59;-23.370070, -47.314340;Itu;Dupla
SP 079;60;-23.372560, -47.323650;Itu;Dupla
SP 079;61;-23.378320, -47.330870;Itu;Dupla
SP 079;62;-23.384350, -47.337470;Itu;Dupla
SP 079;63;-23.390600, -47.347500;Itu;Dupla
SP 079;64;-23.396750, -47.354480;Itu;Dupla
SP 079;65;-23.397230, -47.363090;Sorocaba;Dupla
SP 079;66;-23.398050, -47.371630;Sorocaba;Dupla
SP 079;67;-23.402310, -47.380440;Sorocaba;Dupla
SP 079;68;-23.407900, -47.384060;Sorocaba;Dupla
SP 079;69;-23.414160, -47.390350;Sorocaba;Dupla
SP 079;70;-23.415350, -47.401670;Sorocaba;Dupla
SP 079;71;-23.418520, -47.409200;Sorocaba;Dupla
SP 079;72;-23.427270, -47.414940;Sorocaba;Dupla
SP 079;73;-23.434910, -47.415910;Sorocaba;Dupla
SP 079;74;-23.443340, -47.417050;Sorocaba;Dupla
SP 079;75;-23.451700, -47.418170;Sorocaba;Dupla
SP 079;76;-23.461860, -47.422680;Sorocaba;Dupla
SP 079;77;-23.467540, -47.424460;Sorocaba;Dupla
SP 097;0;-23.449260, -47.513530;Sorocaba;Dupla
SP 097;0;-23.449300, -47.513670;Sorocaba;Dupla
SP 097;1;-23.442310, -47.514880;Sorocaba;Dupla
SP 097;1;-23.442450, -47.514910;Sorocaba;Dupla
SP 097;2;-23.436140, -47.511130;Sorocaba;Simples
SP 097;3;-23.426470, -47.517610;Sorocaba;Simples
SP 097;4;-23.417560, -47.520400;Sorocaba;Simples
SP 097;4;-23.417590, -47.520750;Sorocaba;Simples
SP 097;5;-23.406740, -47.521250;Sorocaba;Simples
SP 097;6;-23.400600, -47.516700;Sorocaba;Simples
SP 097;7;-23.392440, -47.516460;Sorocaba;Simples
SP 097;8;-23.382440, -47.517540;Sorocaba;Simples
SP 097;9;-23.374910, -47.526390;Sorocaba;Simples
SP 097;10;-23.368020, -47.532800;Porto Feliz;Simples
SP 097;11;-23.360010, -47.533830;Porto Feliz;Simples
SP 097;12;-23.353500, -47.531090;Porto Feliz;Simples
SP 097;13;-23.353500, -47.531090;Porto Feliz;Simples
SP 097;14;-23.342910, -47.529180;Porto Feliz;Simples
SP 097;15;-23.328100, -47.528640;Porto Feliz;Simples
SP 097;16;-23.317950, -47.531610;Porto Feliz;Simples
SP 097;17;-23.309160, -47.533250;Porto Feliz;Simples
SP 097;18;-23.300050, -47.533340;Porto Feliz;Simples
SP 097;19;-23.290900, -47.529530;Porto Feliz;Simples
SP 097;20;-23.282830, -47.526230;Porto Feliz;Simples
SP 097;21;-23.273650, -47.522430;Porto Feliz;Simples
SP 097;22;-23.264760, -47.521150;Porto Feliz;Simples
SP 097;23;-23.256170, -47.520630;Porto Feliz;Dupla
SP 097;23;-23.255890, -47.520630;Porto Feliz;Dupla
SP 097;24;-23.246870, -47.517450;Porto Feliz;Dupla
SP 097;24;-23.248830, -47.518180;Porto Feliz;Dupla
SP 097;25;-23.238030, -47.517910;Porto Feliz;Dupla
SP 097;25;-23.237610, -47.518170;Porto Feliz;Dupla
SP 127;213,5;-23.990330, -48.329090;Capão Bonito;Dupla
SP 127;213,5;-23.989540, -48.328130;Capão Bonito;Dupla
SP 127;214;-23.993630, -48.332130;Capão Bonito;Dupla
SP 127;214;-23.993250, -48.331600;Capão Bonito;Dupla
SP 127;215;-23.999860, -48.336950;Capão Bonito;Dupla
SP 127;215;-24.000410, -48.337220;Capão Bonito;Dupla
SP 127;216;-24.007780, -48.341170;Capão Bonito;Dupla
SP 127;216;-24.007850, -48.341130;Capão Bonito;Dupla
SP 129;0;-23.226210, -47.570500;Porto Feliz;Simples
SP 129;1;-23.224150, -47.576040;Porto Feliz;Simples
SP 129;2;-23.227730, -47.580310;Porto Feliz;Simples
SP 129;3;-23.231150, -47.583210;Porto Feliz;Simples
SP 129;4;-23.236010, -47.591750;Porto Feliz;Simples
SP 129;5;-23.245340, -47.608620;Porto Feliz;Simples
SP 129;6;-23.251290, -47.616440;Boituva;Simples
SP 129;7;-23.251620, -47.616650;Boituva;Simples
SP 129;8;-23.260230, -47.632300;Boituva;Simples
SP 129;9;-23.262150, -47.643000;Boituva;Simples
SP 129;10;-23.262180, -47.642950;Boituva;Simples
SP 129;11;-23.268860, -47.663200;Boituva;Simples
SP 129;12;-23.266580, -47.671150;Boituva;Simples
SP 129;12;-23.266580, -47.669630;Boituva;Simples
SP 129;13;-23.270640, -47.680380;Boituva;Simples
SP 129;14;-23.273880, -47.688630;Boituva;Simples
SP 129;15;-23.277540, -47.697530;Boituva;Simples
SP 129;16;-23.283960, -47.710920;Boituva;Simples
SP 129;17;-23.282310, -47.717030;Boituva;Simples
SP 129;18;-23.283290, -47.726270;Boituva;Simples
SP 129;19;-23.285930, -47.734620;Boituva;Simples
SP 129;20;-23.284150, -47.790120;Boituva;Simples
SP 129;21;-23.292610, -47.752560;Boituva;Simples
SP 129;22;-23.296430, -47.762960;Boituva;Simples
SP 129;22;-23.296770, -47.763030;Boituva;Simples
SP 129;23;-23.299610, -47.771260;Tatuí;Simples
SP 129;24;-23.295380, -47.754660;Tatuí;Simples
SP 129;25;-23.306090, -47.788540;Tatuí;Simples
SP 129;26;-23.306150, -47.788670;Tatuí;Simples
SP 129;27;-23.313270, -47.805770;Tatuí;Simples
SP 129;28;-23.313340, -47.805830;Tatuí;Simples
SP 129;29;-23.320570, -47.822970;Tatuí;Simples
SP 129;37,7;-23.359720, -47.890370;Tatuí;Simples
SP 129;38;-23.358730, -47.893330;Tatuí;Simples
SP 129;39;-23.359250, -47.897030;Tatuí;Simples
SP 129;40;-23.359060, -47.902740;Tatuí;Simples
SP 129;41;-23.359250, -47.912010;Tatuí;Simples
SP 129;42;-23.360580, -47.931170;Tatuí;Simples
SP 129;43;-23.360340, -47.931340;Tatuí;Simples
SP 129;44;-23.364960, -47.938660;Tatuí;Simples
SP 129;45;-23.377430, -47.951020;Tatuí;Simples
SP 129;46;-23.382540, -47.959150;Tatuí;Simples
SP 129;47;-23.383270, -47.948260;Tatuí;Simples
SP 129;48;-23.387060, -47.967920;Tatuí;Simples
SP 129;49;-23.383930, -47.983850;Tatuí;Simples
SP 129;50;-23.383000, -47.986270;Tatuí;Simples
SP 129;51;-23.383790, -48.005270;Tatuí;Simples
SP 129;52;-23.383730, -48.005510;Tatuí;Simples
SP 129;53;-23.386140, -48.013260;Tatuí;Simples
SP 129;54;-23.388780, -48.030060;Tatuí;Simples
SP 129;55;-23.395070, -48.030560;Tatuí;Simples
SP 129;56;-23.403420, -48.033260;Tatuí;Simples
SP 129;57;-23.407810, -48.041280;Tatuí;Simples
SP 129;58;-23.415040, -48.043830;Tatuí;Simples
SP 129;59;-23.415050, -48.043810;Itapetininga;Simples
SP 129;60;-23.429420, -48.048300;Itapetininga;Simples
SP 129;61;-23.440200, -48.046560;Itapetininga;Simples
SP 129;62;-23.449060, -48.047990;Itapetininga;Simples
SP 129;63;-23.457630, -48.050410;Itapetininga;Simples
SP 129;64;-23.466370, -48.052610;Itapetininga;Simples
SP 129;65;-23.466360, -48.052590;Itapetininga;Simples
SP 129;66;-23.475320, -48.052910;Itapetininga;Simples
SP 129;67;-23.492180, -48.048340;Itapetininga;Simples
SP 129;68;-23.503220, -48.051730;Itapetininga;Simples
SP 129;69;-23.513870, -48.052440;Itapetininga;Simples
SP 129;70;-23.520470, -48.051880;Itapetininga;Simples
SP 129;71;-23.529190, -48.052820;Itapetininga;Simples
SP 129;72;-23.538860, -48.056430;Itapetininga;Simples
SP 129;73;-23.546870, -48.053940;Itapetininga;Simples
SP 129;74;-23.547190, -48.053860;Itapetininga;Simples
SP 139;67,77;-24.124330, -47.990390;São Miguel Arcanjo;Simples - Intertravado
SP 139;67,77;-24.124580, -47.990560;São Miguel Arcanjo;Simples - Intertravado
SP 139;68;-24.121970, -47.988770;São Miguel Arcanjo;Simples - Intertravado
SP 139;69;-24.106750, -47.986670;São Miguel Arcanjo;Simples - Intertravado
SP 139;70;-24.106080, -47.985610;São Miguel Arcanjo;Simples - Intertravado
SP 139;71;-24.102770, -47.988100;São Miguel Arcanjo;Simples - Intertravado
SP 139;72;-24.097690, -47.988150;São Miguel Arcanjo;Simples - Intertravado
SP 139;73;-24.092920, -47.99020;São Miguel Arcanjo;Simples - Intertravado
SP 139;74;-24.087570, -47.994350;São Miguel Arcanjo;Simples - Intertravado
SP 139;75;-24.079680, -47.995530;São Miguel Arcanjo;Simples - Intertravado
SP 139;76;-24.071610, -47.999180;São Miguel Arcanjo;Simples - Intertravado
SP 139;77;-24.062850, -47.999180;São Miguel Arcanjo;Simples - Intertravado
SP 139;78;-24.056960, -47.994700;São Miguel Arcanjo;Simples - Intertravado
SP 139;79;-24.049960, -48.000020;São Miguel Arcanjo;Simples
SP 139;80;-24.041850, -48.004420;São Miguel Arcanjo;Simples
SP 139;81;-24.037230, -48.010990;São Miguel Arcanjo;Simples
SP 139;82;-24.029490, -48.015880;São Miguel Arcanjo;Simples
SP 139;83;-24.021080, -48.016820;São Miguel Arcanjo;Simples
SP 139;84;-24.008560, -48.016870;São Miguel Arcanjo;Simples
SP 139;85;-24.003930, -48.015720;São Miguel Arcanjo;Simples
SP 139;86;-23.992830, -48.015920;São Miguel Arcanjo;Simples
SP 139;87;-23.985380, -48.014900;São Miguel Arcanjo;Simples
SP 139;88;-23.977130, -48.015320;São Miguel Arcanjo;Simples
SP 139;89;-23.970080, -48.019850;São Miguel Arcanjo;Simples
SP 139;90;-23.966100, -48.022130;São Miguel Arcanjo;Simples
SP 139;91;-23.957570, -48.023360;São Miguel Arcanjo;Simples
SP 139;92;-23.948410, -48.024810;São Miguel Arcanjo;Simples
SP 139;93;-23.939410, -48.025280;São Miguel Arcanjo;Simples
SP 139;94;-23.931000, -48.025550;São Miguel Arcanjo;Simples
SP 139;95;-23.922840, -48.023730;São Miguel Arcanjo;Simples
SP 139;96;-23.916310, -48.018540;São Miguel Arcanjo;Simples
SP 139;97;-23.908850, -48.013940;São Miguel Arcanjo;Simples
SP 139;98;-23.901990, -48.010200;São Miguel Arcanjo;Simples
SP 139;99;-23.892380, -48.010840;São Miguel Arcanjo;Simples
SP 139;100;-23.884110, -48.010650;São Miguel Arcanjo;Simples
SP 139;104;-23.860480, -48.019360;São Miguel Arcanjo;Simples
SP 139;107;-23.845970, -48.038130;São Miguel Arcanjo;Simples
SP 139;109;-23.839060, -48.049510;São Miguel Arcanjo;Simples
SP 139;111;-23.839060, -48.049510;São Miguel Arcanjo;Simples
SP 139;113;-23.839060, -48.049510;São Miguel Arcanjo;Simples
SP 139;115;-23.795810, -48.093780;São Miguel Arcanjo;Simples
SP 139;117;-23.783150, -48.105320;Itapetininga;Simples
SP 139;119;-23.791610, -48.120830;Itapetininga;Simples
SP 139;121;-23.770100, -48.128730;Itapetininga;Simples
SP 141;0,4;-23.532490, -47.724790;Araçoiaba da Serra;Simples
SP 141;1;-23.528370, -47.728890;Araçoiaba da Serra;Simples
SP 141;2;-23.521810, -47.735570;Araçoiaba da Serra;Simples
SP 141;3;-23.513710, -47.739560;Araçoiaba da Serra;Simples
SP 141;4;-23.503520, -47.743640;Araçoiaba da Serra;Simples
SP 141;5;-23.496300, -47.742260;Araçoiaba da Serra;Simples
SP 141;6;-23.487130, -47.741090;Araçoiaba da Serra;Simples
SP 141;6;-23.487070, -47.741360;Araçoiaba da Serra;Simples
SP 141;7;-23.478280, -47.741380;Capela do Alto;Dupla
SP 141;7;-23.478110, -47.741580;Capela do Alto;Dupla
SP 141;8;-23.469280, -47.741130;Capela do Alto;Dupla
SP 141;8;-23.469190, -47.741500;Capela do Alto;Dupla
SP 141;9;-23.462550, -47.735330;Capela do Alto;Dupla
SP 141;10;-23.453770, -47.735110;Capela do Alto;Simples
SP 141;11;-23.444810, -47.735980;Capela do Alto;Simples
SP 141;12;-23.448550, -47.734630;Capela do Alto;Simples
SP 141;13;-23.389970, -47.779020;Capela do Alto;Simples
SP 141;14;-23.389970, -47.779020;Capela do Alto;Simples
SP 141;15;-23.411980, -47.745960;Capela do Alto;Simples
SP 141;16;-23.411980, -47.745950;Capela do Alto;Simples
SP 141;17;-23.411980, -47.745950;Tatuí;Simples
SP 141;18;-23.396220, -47.765540;Tatuí;Simples
SP 141;19;-23.390410, -47.773350;Tatuí;Simples
SP 141;20;-23.386520, -47.781680;Tatuí;Simples
SP 141;21;-23.381550, -47.789850;Tatuí;Dupla
SP 141;22;-23.373790, -47.796140;Tatuí;Dupla
SP 141;22;-23.374680, -47.795940;Tatuí;Dupla
SP 141;23;-23.368280, -47.802980;Tatuí;Dupla
SP 141;23;-23.368460, -47.803000;Tatuí;Dupla
SP 141;24;-23.367980, -47.802940;Tatuí;Dupla
SP 141;24;-23.359610, -47.803500;Tatuí;Dupla
SP 141;25;-23.355430, -47.811310;Tatuí;Dupla
SP 141;26;-23.353390, -47.820680;Tatuí;Dupla
SP 141;27;-23.351430, -47.830350;Tatuí;Dupla
SP 141;27,6;-23.350720, -47.836160;Tatuí;Dupla
SP 141;27,6;-23.350710, -47.836160;Tatuí;Dupla
SP 141;31;-23.336050, -47.859520;Tatuí;Simples
SP 141;32;-23.331050, -47.865200;Tatuí;Simples
SP 141;33;-23.324500, -47.872320;Tatuí;Simples
SP 141;34;-23.317430, -47.878260;Tatuí;Simples
SP 141;35;-23.309580, -47.883230;Tatuí;Simples
SP 141;36;-23.303040, -47.889490;Tatuí;Simples
SP 141;37;-23.296620, -47.896140;Tatuí;Simples
SP 141;38;-23.288650, -47.899980;Tatuí;Simples
SP 141;39;-23.282610, -47.907380;Tatuí;Simples
SP 141;40;-23.277420, -47.913980;Tatuí;Simples
SP 141;41;-23.269490, -47.916000;Cesário Lange;Simples
SP 141;42;-23.265910, -47.924330;Cesário Lange;Simples
SP 141;43;-23.260860, -47.932370;Cesário Lange;Simples
SP 141;44;-23.254680, -47.937860;Cesário Lange;Simples
SP 141;45;-23.245320, -47.938270;Cesário Lange;Simples
SP 141;46;-23.238520, -47.944540;Cesário Lange;Dulpa
SP 141;46,7;-23.232960, -47.948070;Cesário Lange;Dulpa
SP 141;49;-23.219630, -47.963830;Cesário Lange;Simples
SP 141;49;-23.219650, -47.963820;Cesário Lange;Simples
SP 141;50;-23.219150, -47.973450;Cesário Lange;Simples
SP 141;50;-23.219180, -47.973430;Cesário Lange;Simples
SP 141;51;-23.217880, -47.981400;Pereiras;Simples
SP 141;52;-23.220250, -47.989600;Cesário Lange;Simples
SP 141;53;-23.223230, -47.998190;Cesário Lange;Simples
SP 141;54;-23.223250, -48.007810;Quadra;Simples
SP 141;55;-23.225910, -48.016250;Pereiras;Simples
SP 141;56;-23.227080, -48.025740;Pereiras;Simples
SP 141;57;-23.225020, -48.033950;Pereiras;Simples
SP 141;58;-23.222350, -48.041770;Pereiras;Simples
SP 141;59;-23.219690, -48.050150;Porangaba;Simples
SP 141;60;-23.216540, -48.058970;Porangaba;Simples
SP 141;61;-23.213180, -48.067100;Porangaba;Simples
SP 141;62;-23.211850, -48.076160;Porangaba;Simples
SP 141;63;-23.210590, -48.082840;Porangaba;Simples
SP 141;64;-23.204130, -48.089980;Porangaba;Simples
SP 141;65;-23.199800, -48.098020;Porangaba;Simples
SP 141;66;-23.195020, -48.106840;Porangaba;Simples
SP 141;67;-23.190310, -48.115240;Porangaba;Simples
SP 141;68;-23.185820, -48.123310;Porangaba;Simples
SP 141;69;-23.181300, -48.132540;Porangaba;Simples
SP 141;70;-23.177070, -48.140890;Porangaba;Simples
SP 141;71;-23.172920, -48.149270;Porangaba;Simples
SP 141;72;-23.167660, -48.157050;Porangaba;Simples
SP 141;73;-23.159870, -48.162020;Porangaba;Simples
SP 141;74;-23.152130, -48.166810;Porangaba;Simples
SP 141;75;-23.143870, -48.170500;Porangaba;Simples
SP 141;76;-23.134920, -48.169110;Porangaba;Simples
SP 141;77;-23.126780, -48.171320;Porangaba;Simples
SP 141;78;-23.121690, -48.179890;Porangaba;Simples
SP 141;79;-23.117000, -48.187690;Porangaba;Simples
SP 141;80;-23.113550, -48.196730;Bofete;Simples
SP 141;81;-23.110090, -48.205530;Bofete;Simples
SP 141;82;-23.105970, -48.213950;Bofete;Simples
SP 141;83;-23.105350, -48.225580;Bofete;Simples
SP 141;84;-23.105830, -48.233450;Bofete;Simples
SP 141;85;-23.103030, -48.242570;Bofete;Simples
SP 141;86;-23.100490, -48.251670;Bofete;Simples
SP 143;0;-23.231010, -47.948120;Cesário Lange;Dupla
SP 143;0;-23.230770, -47.948620;Cesário Lange;Dupla
SP 143;1;-23.223690, -47.948920;Cesário Lange;Dupla
SP 143;1;-23.223540, -47.949400;Cesário Lange;Dupla
SP 143;2;-23.213720, -47.948220;Cesário Lange;Simples
SP 143;3;-23.205050, -47.947100;Cesário Lange;Simples
SP 143;4;-23.194820, -47.945790;Cesário Lange;Simples
SP 143;5;-23.185810, -47.944650;Cesário Lange;Simples
SP 143;6;-23.176570, -47.943620;Cesário Lange;Simples
SP 143;7;-23.167710, -47.942490;Cesário Lange;Simples
SP 143;8;-23.159630, -47.941320;Pereiras;Simples
SP 143;9;-23.150800, -47.941880;Pereiras;Simples
SP 143;10;-23.142170, -47.942470;Pereiras;Simples
SP 143;11;-23.134240, -47.947390;Pereiras;Simples
SP 143;12;-23.124860, -47.948770;Pereiras;Simples
SP 143;13;-23.115660, -47.950980;Pereiras;Simples
SP 143;14;-23.106630, -47.951730;Pereiras;Simples
SP 143;15;-23.099430, -47.955940;Pereiras;Simples
SP 143;16;-23.091760, -47.961100;Pereiras;Simples
SP 143;17;-23.084150, -47.965480;Pereiras;Dupla
SP 143;18;-23.076340, -47.969680;Pereiras;Dupla
SP 143;18;-23.076460, -47.969800;Pereiras;Dupla
SP 143;19;-23.068690, -47.973840;Pereiras;Dupla
SP 143;19;-23.068680, -47.974140;Pereiras;Dupla
SP 143;20;-23.062350, -47.969020;Pereiras;Simples
SP 143;21;-23.056330, -47.961810;Pereiras;Simples
SP 143;22;-23.049130, -47.958510;Pereiras;Simples
SP 147;238,5;-22.951300, -48.276270;Anhembi;Simples
SP 147;239;-22.955790, -48.275390;Anhembi;Simples
SP 147;240;-22.964260, -48.275250;Anhembi;Simples
SP 147;241;-22.966590, -48.276380;Bofete;Simples
SP 147;242;-22.982160, -48.278140;Bofete;Simples
SP 147;243;-22.982150, -48.278150;Bofete;Simples
SP 147;244;-22.997820, -48.269210;Bofete;Simples
SP 147;245;-23.004190, -48.265260;Bofete;Simples
SP 147;246;-23.009290, -48.256180;Bofete;Simples
SP 147;247;-23.017690, -48.256740;Bofete;Simples
SP 147;247;-23.017950, -48.256590;Bofete;Simples
SP 147;248;-23.017950, -48.256590;Bofete;Simples
SP 147;249;-23.034440, -48.253850;Bofete;Simples
SP 147;250;-23.038070, -48.245260;Bofete;Simples
SP 147;251;-23.043550, -48.238460;Bofete;Simples
SP 147;252;-23.052320, -48.240700;Bofete;Simples
SP 147;253;-23.052300, -48.240730;Bofete;Simples
SP 147;254;-23.061060, -48.242300;Bofete;Simples
SP 147;255;-23.076500, -48.249030;Bofete;Simples
SP 147;256;-23.082230, -48.255550;Bofete;Simples
SP 147;257;-23.092540, -48.257930;Bofete;Simples
SP 147;258;-23.098620, -48.261510;Bofete;Simples
SP 147;258;-23.098650, -48.261490;Bofete;Simples
SP 147;259;-23.105060, -48.269170;Bofete;Simples
SP 147;259;-23.105160, -48.268790;Bofete;Simples
SP 147;259;-23.105170, -48.268790;Bofete;Simples
SP 147;260;-23.112870, -48.273280;Bofete;Simples
SP 147;261;-23.120660, -48.277640;Bofete;Simples
SP 147;262;-23.128630, -48.282210;Bofete;Simples
SP 147;262;-23.128640, -48.282220;Bofete;Simples
SP 147;262,8;-23.135530, -48.284890;Bofete;Simples
SP 147;262,8;-23.135540, -48.284940;Bofete;Simples
SP 147;263;-23.137010, -48.285530;Bofete;Simples
SP 147;264;-23.152890, -48.292400;Bofete;Simples
SP 147;264;-23.145540, -48.287980;Bofete;Simples
SP 147;265;-23.154060, -48.291850;Bofete;Simples
SP 147;266;-23.154060, -48.291850;Bofete;Simples
SP 147;266;-23.161610, -48.296890;Bofete;Simples
SP 147;267;-23.169740, -48.301340;Bofete;Simples
SP 147;267;-23.127350, -48.279950;Bofete;Simples
SP 147;267,8;-23.169620, -48.301440;Bofete;Simples
SP 147;267,8;-23.176470, -48.304870;Bofete;Simples
SP 147;268,2;-23.179910, -48.306570;Bofete;Simples
SP 147;268,2;-23.179960, -48.306520;Bofete;Simples
SP 147;268,2;-23.180090, -48.306670;Bofete;Simples
SP 157;6;-23.568280, -48.084620;Itapetininga;Simples
SP 157;7;-23.559670, -48.085820;Itapetininga;Simples
SP 157;8;-23.551820, -48.089110;Itapetininga;Simples
SP 157;9;-23.550060, -48.094880;Itapetininga;Simples
SP 157;10;-23.541170, -48.096980;Itapetininga;Simples
SP 157;11;-23.535710, -48.102460;Itapetininga;Simples
SP 157;12;-23.533310, -48.111740;Itapetininga;Simples
SP 157;13;-23.536080, -48.118490;Itapetininga;Simples
SP 157;14;-23.534610, -48.124610;Itapetininga;Simples
SP 157;15;-23.527880, -48.130990;Itapetininga;Simples
SP 157;16;-23.522010, -48.137710;Itapetininga;Simples
SP 157;18;-23.508820, -48.147940;Itapetininga;Simples
SP 157;19;-23.500510, -48.151490;Itapetininga;Simples
SP 157;20;-23.494420, -48.157880;Itapetininga;Simples
SP 157;21;-23.493520, -48.167180;Itapetininga;Simples
SP 157;21,9;-23.492940, -48.174350;Guareí;Simples
SP 157;21,9;-23.494110, -48.175470;Guareí;Simples
SP 157;22;-23.494070, -48.175520;Guareí;Simples
SP 157;22;-23.494110, -48.175460;Guareí;Simples
SP 157;23,15;-23.486770, -48.182990;Guareí;Simples
SP 157;43;-23.326130, -48.185700;Guareí;Simples
SP 157;44;-23.318090, -48.181130;Guareí;Simples
SP 157;44,85;-23.311750, -48.176610;Guareí;Simples
SP 157;44,9;-23.311540, -48.176460;Guareí;Simples
SP 157;45,9;-23.305320, -48.169590;Guareí;Simples
SP 157;45,9;-23.304690, -48.168960;Guareí;Simples
SP 157;45,95;-23.304920, -48.168910;Guareí;Simples
SP 157;45,95;-23.304920, -48.168940;Guareí;Simples
SP 157;45,95;-23.304960, -48.168960;Guareí;Simples
SP 157;45,95;-23.304820, -48.168980;Guareí;Simples
SP 157;45,95;-23.304830, -48.168980;Guareí;Simples
SP 157;45,95;-23.304830, -48.168990;Guareí;Simples
SP 157;46;-23.304510, -48.168810;Guareí;Simples
SP 157;46,95;-23.297400, -48.164510;Guareí;Simples
SP 157;46,95;-23.297390, -48.164500;Guareí;Simples
SP 157;47,75;-23.290680, -48.166510;Guareí;Simples
SP 157;47,8;-23.290330, -48.166500;Guareí;Simples
SP 157;47,9;-23.289190, -48.166170;Guareí;Simples
SP 157;47,9;-23.289120, -48.166150;Guareí;Simples
SP 157;47,9;-23.288890, -48.166090;Guareí;Simples
SP 157;47,9;-23.288900, -48.166110;Guareí;Simples
SP 157;49;-23.281250, -48.159330;Guareí;Simples
SP 157;50;-23.274140, -48.154130;Guareí;Simples
SP 157;50;-23.274190, -48.154150;Guareí;Simples
SP 157;50;-23.274080, -48.154160;Guareí;Simples
SP 157;50;-23.274210, -48.154180;Guareí;Simples
SP 157;51,8;-23.265660, -48.142480;Guareí;Simples
SP 157;52;-23.264740, -48.140630;Guareí;Simples
SP 157;52,2;-23.263040, -48.139500;Guareí;Simples
SP 157;52,5;-23.261190, -48.139230;Guareí;Simples
SP 157;52,5;-23.261380, -48.139200;Guareí;Simples
SP 157;52,5;-23.261370, -48.139210;Guareí;Simples
SP 165;168,8;-24.51957, -48.72663;Apiaí;Terra
SP 165;169;-24.51977, -48.72846;Apiaí;Terra
SP 165;170;-24.52421, -48.73587;Apiaí;Terra
SP 165;171;-24.52593, -48.74527;Apiaí;Terra
SP 165;172;-24.52944, -48.75382;Apiaí;Terra
SP 165;173;-24.53474, -48.76212;Apiaí;Terra
SP 165;174;-24.5395, -48.76939;Apiaí;Terra
SP 165;175;-24.54021, -48.77827;Apiaí;Terra
SP 165;176;-24.53733, -48.78451;Apiaí;Terra
SP 165;177;-24.53799, -48.79102;Apiaí;Terra
SP 165;178;-24.54093, -48.79951;Apiaí;Terra
SP 165;179;-24.53951, -48.80875;Apiaí;Terra
SP 165;180;-24.5408, -48.81331;Apiaí;Terra
SP 165;181;-24.54063, -48.81334;Apiaí;Simples
SP 165;182;-24.54044, -48.82767;Apiaí;Simples
SP 165;183;-24.53466, -48.83371;Apiaí;Simples
SP 165;184;-24.52686, -48.83662;Apiaí;Simples
SP 181;0;-24.01697, -48.34942;Capão Bonito;Simples
SP 181;1;-24.02535, -48.34707;Capão Bonito;Simples
SP 181;2;-24.03402, -48.34881;Capão Bonito;Simples
SP 181;3;-24.04218, -48.34757;Capão Bonito;Simples
SP 181;4;-24.05054, -48.35141;Capão Bonito;Simples
SP 181;5;-24.05718, -48.35801;Capão Bonito;Simples
SP 181;6;-24.06538, -48.36044;Capão Bonito;Simples
SP 181;7;-24.07442, -48.3633;Ribeirão Grande;Simples
SP 181;8;-24.08118, -48.36329;Ribeirão Grande;Simples
SP 181;9;-24.09047, -48.36353;Ribeirão Grande;Simples
SP 181;10;-24.09831, -48.36177;Ribeirão Grande;Simples
SP 181;11;-24.10698, -48.36146;Ribeirão Grande;Simples
SP 181;12;-24.11422, -48.35764;Ribeirão Grande;Simples
SP 181;13;-24.12323, -48.36148;Ribeirão Grande;Simples
SP 181;14;-24.12875, -48.36761;Ribeirão Grande;Simples
SP 181;15;-24.136, -48.363;Ribeirão Grande;Simples
SP 181;16;-24.14169, -48.35608;Ribeirão Grande;Simples
SP 181;17;-24.14823, -48.34916;Ribeirão Grande;Simples
SP 181;18;-24.15208, -48.35289;Ribeirão Grande;Simples
SP 181;19;-24.15939, -48.34867;Ribeirão Grande;Simples
SP 181;19,1;-24.16033, -48.34872;Ribeirão Grande;Simples
SP 189;0;-23.53409, -48.43402;Campina do Monte Alegre;Simples
SP 189;1;-23.53738, -48.44116;Campina do Monte Alegre;Simples
